<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.QGDO:TQBR;60;09/12/20;22:00:00;3401.5000000;3401.5000000;3300.0000000;3312.5000000;60352
MOEX.QGDO:TQBR;60;09/12/20;23:00:00;3314.0000000;3324.5000000;3300.0000000;3314.0000000;34824
MOEX.QGDO:TQBR;60;10/12/20;00:00:00;3314.0000000;3316.0000000;3300.0000000;3301.0000000;25043
MOEX.QGDO:TQBR;60;10/12/20;11:00:00;3348.5000000;3380.0000000;3314.0000000;3359.0000000;39957
MOEX.QGDO:TQBR;60;10/12/20;12:00:00;3359.0000000;3371.0000000;3348.5000000;3369.0000000;11512
MOEX.QGDO:TQBR;60;10/12/20;13:00:00;3365.5000000;3368.5000000;3350.0000000;3352.0000000;7833
MOEX.QGDO:TQBR;60;10/12/20;14:00:00;3352.0000000;3360.0000000;3330.0000000;3339.0000000;15977
MOEX.QGDO:TQBR;60;10/12/20;15:00:00;3342.0000000;3347.0000000;3330.0000000;3332.0000000;5133
MOEX.QGDO:TQBR;60;10/12/20;16:00:00;3334.0000000;3335.0000000;3300.0000000;3313.0000000;18010
MOEX.QGDO:TQBR;60;10/12/20;17:00:00;3313.0000000;3320.5000000;3273.5000000;3277.0000000;23186
MOEX.QGDO:TQBR;60;10/12/20;18:00:00;3278.0000000;3369.0000000;3273.0000000;3357.0000000;37507
MOEX.QGDO:TQBR;60;10/12/20;19:00:00;3353.5000000;3357.0000000;3267.5000000;3271.0000000;24254
MOEX.QGDO:TQBR;60;10/12/20;20:00:00;3329.0000000;3329.0000000;3271.0000000;3285.0000000;17929
MOEX.QGDO:TQBR;60;10/12/20;21:00:00;3289.0000000;3292.5000000;3276.0000000;3280.5000000;5991
MOEX.QGDO:TQBR;60;10/12/20;22:00:00;3281.5000000;3301.0000000;3278.5000000;3294.5000000;6024
MOEX.QGDO:TQBR;60;10/12/20;23:00:00;3294.5000000;3297.5000000;3281.0000000;3287.0000000;5792
MOEX.QGDO:TQBR;60;11/12/20;00:00:00;3289.5000000;3305.0000000;3283.0000000;3294.0000000;11258
MOEX.QGDO:TQBR;60;11/12/20;11:00:00;3308.0000000;3340.0000000;3268.0000000;3313.0000000;28347
MOEX.QGDO:TQBR;60;11/12/20;12:00:00;3312.5000000;3316.0000000;3282.5000000;3285.0000000;10772
MOEX.QGDO:TQBR;60;11/12/20;13:00:00;3284.0000000;3302.0000000;3284.0000000;3291.5000000;5941
