<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ARSF-RM;60;28/11/20;00:00:00;16376.0000000;16376.0000000;16365.0000000;16365.0000000;13
ARSF-RM;60;30/11/20;11:00:00;16349.0000000;16403.0000000;16341.0000000;16403.0000000;229
ARSF-RM;60;30/11/20;12:00:00;16373.0000000;16391.0000000;16340.0000000;16367.0000000;31
ARSF-RM;60;30/11/20;13:00:00;16348.0000000;16374.0000000;16348.0000000;16349.0000000;10
ARSF-RM;60;30/11/20;14:00:00;16385.0000000;16385.0000000;16373.0000000;16373.0000000;16
ARSF-RM;60;30/11/20;15:00:00;16373.0000000;16373.0000000;16348.0000000;16348.0000000;18
ARSF-RM;60;30/11/20;16:00:00;16340.0000000;16389.0000000;16339.0000000;16386.0000000;46
ARSF-RM;60;30/11/20;17:00:00;16386.0000000;16387.0000000;16353.0000000;16353.0000000;225
ARSF-RM;60;30/11/20;18:00:00;16361.0000000;16385.0000000;16225.0000000;16318.0000000;113
ARSF-RM;60;30/11/20;19:00:00;16290.0000000;16290.0000000;16150.0000000;16200.0000000;157
ARSF-RM;60;30/11/20;20:00:00;16203.0000000;16214.0000000;16159.0000000;16178.0000000;83
ARSF-RM;60;30/11/20;21:00:00;16190.0000000;16244.0000000;16164.0000000;16210.0000000;31
ARSF-RM;60;30/11/20;22:00:00;16245.0000000;16265.0000000;16218.0000000;16218.0000000;58
ARSF-RM;60;30/11/20;23:00:00;16212.0000000;16261.0000000;16205.0000000;16256.0000000;23
ARSF-RM;60;01/12/20;00:00:00;16256.0000000;16292.0000000;16235.0000000;16287.0000000;53
ARSF-RM;60;01/12/20;11:00:00;16332.0000000;16446.0000000;16332.0000000;16396.0000000;97
ARSF-RM;60;01/12/20;12:00:00;16404.0000000;16440.0000000;16400.0000000;16400.0000000;45
ARSF-RM;60;01/12/20;13:00:00;16396.0000000;16396.0000000;16345.0000000;16350.0000000;35
ARSF-RM;60;01/12/20;14:00:00;16367.0000000;16367.0000000;16351.0000000;16351.0000000;14
ARSF-RM;60;01/12/20;15:00:00;16352.0000000;16375.0000000;16351.0000000;16375.0000000;24
ARSF-RM;60;01/12/20;16:00:00;16375.0000000;16387.0000000;16353.0000000;16353.0000000;100
ARSF-RM;60;01/12/20;17:00:00;16353.0000000;16353.0000000;16295.0000000;16333.0000000;86
ARSF-RM;60;01/12/20;18:00:00;16322.0000000;16322.0000000;16180.0000000;16180.0000000;53
ARSF-RM;60;01/12/20;19:00:00;16180.0000000;16220.0000000;16165.0000000;16165.0000000;170
ARSF-RM;60;01/12/20;20:00:00;16165.0000000;16228.0000000;16165.0000000;16223.0000000;41
ARSF-RM;60;01/12/20;21:00:00;16282.0000000;16353.0000000;16279.0000000;16335.0000000;85
ARSF-RM;60;01/12/20;22:00:00;16350.0000000;16415.0000000;16350.0000000;16415.0000000;45
ARSF-RM;60;01/12/20;23:00:00;16415.0000000;16447.0000000;16412.0000000;16430.0000000;118
ARSF-RM;60;02/12/20;00:00:00;16450.0000000;16450.0000000;16397.0000000;16397.0000000;21
ARSF-RM;60;02/12/20;11:00:00;16397.0000000;16397.0000000;16376.0000000;16376.0000000;71
ARSF-RM;60;02/12/20;12:00:00;16376.0000000;16420.0000000;16376.0000000;16390.0000000;40
ARSF-RM;60;02/12/20;13:00:00;16400.0000000;16400.0000000;16357.0000000;16361.0000000;22
ARSF-RM;60;02/12/20;14:00:00;16388.0000000;16394.0000000;16388.0000000;16394.0000000;5
ARSF-RM;60;02/12/20;15:00:00;16389.0000000;16389.0000000;16360.0000000;16381.0000000;30
ARSF-RM;60;02/12/20;16:00:00;16381.0000000;16381.0000000;16325.0000000;16325.0000000;109
ARSF-RM;60;02/12/20;17:00:00;16325.0000000;16327.0000000;16300.0000000;16300.0000000;12
ARSF-RM;60;02/12/20;18:00:00;16300.0000000;16300.0000000;16073.0000000;16119.0000000;112
ARSF-RM;60;02/12/20;19:00:00;16130.0000000;16144.0000000;16078.0000000;16144.0000000;100
ARSF-RM;60;02/12/20;20:00:00;16150.0000000;16154.0000000;16100.0000000;16154.0000000;172
ARSF-RM;60;02/12/20;21:00:00;16154.0000000;16154.0000000;16090.0000000;16092.0000000;72
ARSF-RM;60;02/12/20;22:00:00;16092.0000000;16119.0000000;16089.0000000;16119.0000000;46
ARSF-RM;60;02/12/20;23:00:00;16135.0000000;16171.0000000;16135.0000000;16143.0000000;62
ARSF-RM;60;03/12/20;00:00:00;16181.0000000;16194.0000000;16148.0000000;16149.0000000;62
ARSF-RM;60;03/12/20;11:00:00;16242.0000000;16243.0000000;16200.0000000;16200.0000000;31
ARSF-RM;60;03/12/20;12:00:00;16200.0000000;16202.0000000;16190.0000000;16190.0000000;52
ARSF-RM;60;03/12/20;13:00:00;16190.0000000;16200.0000000;16161.0000000;16180.0000000;29
ARSF-RM;60;03/12/20;14:00:00;16180.0000000;16180.0000000;16160.0000000;16169.0000000;98
ARSF-RM;60;03/12/20;15:00:00;16169.0000000;16184.0000000;16169.0000000;16178.0000000;16
ARSF-RM;60;03/12/20;16:00:00;16160.0000000;16160.0000000;16119.0000000;16140.0000000;95
ARSF-RM;60;03/12/20;17:00:00;16119.0000000;16119.0000000;16105.0000000;16105.0000000;39
ARSF-RM;60;03/12/20;18:00:00;16105.0000000;16105.0000000;15990.0000000;15995.0000000;141
ARSF-RM;60;03/12/20;19:00:00;16045.0000000;16100.0000000;15990.0000000;15990.0000000;120
ARSF-RM;60;03/12/20;20:00:00;15990.0000000;15992.0000000;15963.0000000;15978.0000000;146
